sampleId,guardian_dependence,executioner_deficiency,susceptibility_score,executioner_loss_call,executioner_loss_score
TCGA-FA-8693-01,0.3333333333333333,0.22916666666666663,0.2763853991962833,False,0.0
TCGA-FA-A4BB-01,0.7291666666666666,0.7083333333333333,0.7186745129441808,False,0.0
TCGA-FA-A4XK-01,0.9375,0.35416666666666663,0.5762215285808054,False,0.0
TCGA-FA-A6HN-01,0.7916666666666666,0.125,0.3145764348029479,False,0.0
TCGA-FA-A6HO-01,0.5,0.8333333333333334,0.6454972243679028,False,0.0
TCGA-FA-A7DS-01,0.4375,0.39583333333333337,0.4161455074049621,False,0.0
TCGA-FA-A7Q1-01,0.10416666666666667,0.9166666666666666,0.3090082702956526,False,0.0
TCGA-FA-A82F-01,0.14583333333333334,0.7916666666666666,0.33978138396458524,False,0.0
TCGA-FA-A86F-01,0.6875,0.6666666666666667,0.6770032003863301,False,0.0
TCGA-FF-8041-01,0.20833333333333334,0.16666666666666663,0.18633899812498245,False,0.0
TCGA-FF-8042-01,0.7083333333333334,0.02083333333333337,0.12147816447594387,False,0.0
TCGA-FF-8043-01,0.9791666666666666,0.75,0.8569568250501305,False,0.0
TCGA-FF-8046-01,0.020833333333333332,0.4375,0.09547032697824666,False,0.0
TCGA-FF-8047-01,0.5416666666666666,0.5,0.5204164998665332,False,0.0
TCGA-FF-8061-01,0.22916666666666666,0.0,0.0,False,0.0
TCGA-FF-8062-01,0.25,0.1875,0.21650635094610965,False,0.0
TCGA-FF-A7CQ-01,0.625,0.5416666666666667,0.5818433351570392,False,0.0
TCGA-FF-A7CR-01,0.875,0.7708333333333334,0.8212668060177927,False,0.0
TCGA-FF-A7CW-01,0.8333333333333334,0.25,0.45643546458763845,False,0.0
TCGA-FF-A7CX-01,0.4791666666666667,0.8958333333333334,0.6551743830631829,False,0.0
TCGA-FM-8000-01,0.041666666666666664,0.375,0.125,False,0.0
TCGA-G8-6324-01,0.08333333333333333,0.20833333333333337,0.13176156917368248,False,0.0
TCGA-G8-6325-01,0.3958333333333333,0.0625,0.15728821740147395,False,0.0
TCGA-G8-6326-01,0.7708333333333334,0.04166666666666663,0.17921510973005467,False,0.0
TCGA-G8-6906-01,0.2708333333333333,0.10416666666666663,0.16796370308955308,False,0.0
TCGA-G8-6907-01,0.0625,0.14583333333333337,0.09547032697824667,False,0.0
TCGA-G8-6909-01,0.4583333333333333,0.29166666666666663,0.36562351614133837,False,0.0
TCGA-G8-6914-01,0.6458333333333334,0.3125,0.449247055267663,False,0.0
TCGA-GR-7351-01,0.125,0.08333333333333337,0.10206207261596578,False,0.0
TCGA-GR-7353-01,0.5625,0.5833333333333333,0.57282196186948,False,0.0
TCGA-GR-A4D4-01,0.16666666666666666,0.9791666666666666,0.4039733214513607,True,0.5
TCGA-GR-A4D5-01,0.2916666666666667,0.6875,0.4477955262542641,False,0.0
TCGA-GR-A4D6-01,0.3541666666666667,0.27083333333333337,0.30970976556913554,False,0.0
TCGA-GR-A4D9-01,1.0,0.7291666666666667,0.8539125638299666,False,0.0
TCGA-GS-A9TQ-01,0.375,0.8541666666666666,0.5659615711335886,False,0.0
TCGA-GS-A9TT-01,0.6666666666666666,0.875,0.7637626158259733,False,0.0
TCGA-GS-A9TU-01,0.5833333333333334,0.8125,0.6884463184107628,False,0.0
TCGA-GS-A9TV-01,0.8958333333333334,0.6458333333333333,0.7606306776470285,False,0.0
TCGA-GS-A9TW-01,0.8541666666666666,0.41666666666666663,0.5965758776365147,False,0.0
TCGA-GS-A9TX-01,0.6041666666666666,0.9583333333333334,0.7609159319895697,True,0.5
TCGA-GS-A9TY-01,0.4166666666666667,0.45833333333333337,0.4370036867375632,False,0.0
TCGA-GS-A9TZ-01,0.9583333333333334,0.47916666666666663,0.677643998637108,False,0.0
TCGA-GS-A9U3-01,0.9166666666666666,0.6041666666666667,0.744190462478823,False,0.0
TCGA-GS-A9U4-01,0.8125,0.33333333333333337,0.5204164998665333,False,0.0
TCGA-RQ-A68N-01,0.1875,0.5625,0.3247595264191645,False,0.0
TCGA-RQ-A6JB-01,0.3125,0.625,0.4419417382415922,False,0.0
TCGA-RQ-AAAT-01,0.5208333333333334,0.9375,0.6987712429686843,False,0.0
TCGA-VB-A8QN-01,0.75,0.5208333333333333,0.625,False,0.0
